10,Error PC 01,Solution PC 1
11,Error PC 02,Solution PC 2
12,Error PC 03,Solution PC 3
13,Error PC 04,Solution PC 4
14,Error PC 05,Solution PC 5
15,Error PC 06,Solution PC 6  : D?ch v?n b?n: D?ch gi?a 108 ngôn ng? b?ng cách nh?p d? li?u • Nh?n ?? d?ch: Sao chép v?n b?n trong b?t k? ?ng d?ng nào và nh?n vào bi?u t??ng Google D?ch ?? …
16,Error PC 07,Solution PC 7
17,Error PC 08,Solution PC 8
18,Error PC 09,Solution PC 9
19,Error PC 10,Solution PC 10
20,Error PC 11,Solution PC 11
21,Error PC 12,Solution PC 12
22,Error PC 13,Solution PC 13
23,Error PC 14,Solution PC 14
24,Error PC 15,Solution PC 15
25,Error PC 16,Solution PC 16
26,Error PC 17,Solution PC 17
27,Error PC 18,Solution PC 18
28,Error PC 19,Solution PC 19
29,Error PC 20,Solution PC 20 
30,Error PC 21,Solution PC 21
31,Error PC 22,Solution PC 22
32,Error PC 23,Solution PC 23
33,Error PC 24,Solution PC 24
34,Error PC 25,Solution PC 25
35,Error PC 26,Solution PC 26
36,Error PC 27,Solution PC 27
37,Error PC 28,Solution PC 28
38,Error PC 29,Solution PC 29
39,Error PC 30,Solution PC 30
40,Error PC 31,Solution PC 31
41,Error PC 32,Solution PC 32
42,Error PC 33,Solution PC 33
43,Error PC 34,Solution PC 34
44,Error PC 35,Solution PC 35
45,Error PC 36,Solution PC 36
46,Error PC 37,Solution PC 37
47,Error PC 38,Solution PC 38
48,Error PC 39,Solution PC 39
49,Error PC 40,Solution PC 40
50,Error PC 41,Solution PC 41
51,Error PC 42,Solution PC 42
52,Error PC 43,Solution PC 43
53,Error PC 44,Solution PC 44
54,Error PC 45,Solution PC 45
55,Error PC 46,Solution PC 46
56,Error PC 47,Solution PC 47
57,Error PC 48,Solution PC 48
58,Error PC 49,Solution PC 49
59,Error PC 50,Solution PC 50
60,Error PC 51,Solution PC 51
61,Error PC 52,Solution PC 52
62,Error PC 53,Solution PC 53
63,Error PC 54,Solution PC 54
64,Error PC 55,Solution PC 55
65,Error PC 56,Solution PC 56
66,Error PC 57,Solution PC 57
67,Error PC 58,Solution PC 58
68,Error PC 59,Solution PC 59
69,Error PC 60,Solution PC 60
70,Error PC 61,Solution PC 61
71,Error PC 62,Solution PC 62
72,Error PC 63,Solution PC 63
73,Error PC 64,Solution PC 64
74,Error PC 65,Solution PC 65
75,Error PC 66,Solution PC 66
76,Error PC 67,Solution PC 67
77,Error PC 68,Solution PC 68
78,Error PC 69,Solution PC 69
79,Error PC 70,Solution PC 70
80,Error PC 71,Solution PC 71
81,Error PC 72,Solution PC 72
82,Error PC 73,Solution PC 73
83,Error PC 74,Solution PC 74
84,Error PC 75,Solution PC 75
85,Error PC 76,Solution PC 76
86,Error PC 77,Solution PC 77
87,Error PC 78,Solution PC 78
88,Error PC 79,Solution PC 79
89,Error PC 80,Solution PC 80
90,Error PC 81,Solution PC 81
91,Error PC 82,Solution PC 82
92,Error PC 83,Solution PC 83
93,Error PC 84,Solution PC 84
94,Error PC 85,Solution PC 85
95,Error PC 86,Solution PC 86
96,Error PC 87,Solution PC 87
97,Error PC 88,Solution PC 88
98,Error PC 89,Solution PC 89
99,Error PC 90,Solution PC 90
100,Error PC 91,Solution PC 91
101,Error PLC 01,Solution PLC 01
102,Error PLC 02,Solution PLC 02
103,Error PLC 03,Solution PLC 03
104,Error PLC 04,Solution PLC 04
105,Error PLC 05,Solution PLC 05
106,Error PLC 06,Solution PLC 06
107,Error PLC 07,Solution PLC 07
108,Error PLC 08,Solution PLC 08
109,Error PLC 09,Solution PLC 09
110,Error PLC 10,Solution PLC 10
111,Error PLC 11,Solution PLC 11
112,Error PLC 12,Solution PLC 12
113,Error PLC 13,Solution PLC 13
114,Error PLC 14,Solution PLC 14
115,Error PLC 15,Solution PLC 15
116,Error PLC 16,Solution PLC 16
117,Error PLC 17,Solution PLC 17
118,Error PLC 18,Solution PLC 18
119,Error PLC 19,Solution PLC 19
120,Error PLC 20 A global product and solution supplier specialized in machine vision and mobile rob A global product and solution supplier specialized in machine vision and mobile rob 123,Solution PLC 20 A global product and solution supplier specialized in machine vision and mobile rob
121,Error PLC 21,Solution PLC 21
122,Error PLC 22,Solution PLC 22
123,Error PLC 23,Solution PLC 23
124,Error PLC 24,Solution PLC 24
125,Error PLC 25,Solution PLC 25
126,Error PLC 26,Solution PLC 26
127,Error PLC 27,Solution PLC 27
128,Error PLC 28,Solution PLC 28
129,Error PLC 29,Solution PLC 29
130,Error PLC 30,Solution PLC 30
131,Error PLC 31,Solution PLC 31
132,Error PLC 32,Solution PLC 32
